Resource,Operation,Operation,Operation New,Resource v1,Description,Description New,Endpoint,Campos simplificados,Parámetros Nodo,Parámetros API,Ultima Actualización,Motivo Implementación,Comentarios Broobe,Comentarios Centum
Articulos,LISTAR,Categorias Artículo,GetAll,List_Categories,Obtén la lista completa de categorías de artículos.,Devuelve la lista completa de categorías de artículos,/CategoriasArticulo,,Identificadores de subgrupos,URL: idSubRubro opcional; la documentación también contempla la variante para uno o más IDs de subrubros.,,,,
Logística,LISTAR,Choferes Guía Logística,GetAll,List_Drivers,Obtén la lista completa de conductores disponibles.,Devuelve la lista completa de choferes para guías logísticas.,/GuiaLogisticaChoferes,,Sin parámetros de nodo específicos.,Sin parámetros documentados.,,,,
Clientes,CREAR,Clientes,Update,Update_Customer,Actualizar un cliente y devolver la información del recurso y la URL.,Actualiza un cliente y devuelve el objeto actualizado.,/Clientes/Actualizar,,Cuerpo JSON,Body: Cliente | Requiere enviar el ID del cliente existente dentro del cuerpo; usa los mismos criterios y validaciones documentados para alta de cliente.,,,,
Clientes,CREAR,Clientes,Create (**),Create_Taxpayer_Customer,Crear un nuevo cliente contribuyente,Crea un cliente.,/Clientes,,"Cuerpo JSON, CUIT",No hay un alta diferenciada de contribuyente documentada; /Clientes documenta alta genérica con body Cliente.,,,,
Clientes,GET,Clientes,GetSaldoCuentaCorriente,Get_Customer_Balance,Obtén el saldo del cliente seleccionado.,Devuelve el saldo de cuenta corriente de un cliente en función de su ID único.,/SaldosCuentasCorrientes/{customerId},"IdCliente, Codigo, RazonSocial, NombreFantasia, CUIT, Documento, Email, Telefono, Activo, Saldo, SaldoPendiente, CondicionIVA.{IdCondicionIVA,Nombre}, Zona.{IdZona,Nombre}, Vendedor.{IdVendedor,Codigo,Nombre}, FechaVencimiento, Importe, ImportePendiente","ID del cliente, fecha de actualización del precio, salida simplificada","Path: {idCliente} requerido | URL: fechaVencimientoHasta requerida, composicionReal opcional, idsDivisionesEmpresasGrupoEconomico opcional.",,,,
Clientes,CREAR,Clientes,Create (**),Create_Customer,Crear un nuevo cliente,Crea un cliente.,/Clientes,,"Condición de venta, ID de condición de IVA, CUIT, ID de descuento, ID de país, ID de provincia, ID de zona, nombre de la empresa",Body: Cliente.,,,,
Clientes,LISTAR,Clientes,Get (***),List_Customers,Devuelve una lista de todos los clientes registrados.,Devuelve los datos de clientes en función de filtros varios.,/Clientes,"IdCliente, Codigo, RazonSocial, NombreFantasia, CUIT, Documento, Email, Telefono, Activo, Saldo, SaldoPendiente, CondicionIVA.{IdCondicionIVA,Nombre}, Zona.{IdZona,Nombre}, Vendedor.{IdVendedor,Codigo,Nombre}",Salida simplificada,"URL: codigo, codigoDesde, codigoHasta, cuit, razonSocial, activo, numeroPagina y cantidadItemsPorPagina; la documentación lo define como listado con filtros varios.",,,,
Clientes,LISTAR,Clientes,GetComposicionSaldoCuentaCorriente,Get_Customer_Balance_Breakdown,Obtenga el desglose del saldo de la cuenta del cliente seleccionado.,Devuelve la composición del saldo de cuenta corriente de un cliente en función de su ID único.,/SaldosCuentasCorrientes/Composicion/{customerId},"IdVenta, IdPedidoVenta, IdPedido, IdCobro, IdCompra, IdOrdenCompra, IdComprobante, Codigo, Numero, NumeroDocumento, Fecha, FechaDocumento, FechaEntrega, Estado, ImporteNeto, ImporteIVA, ImporteTotal, Total, Saldo, SaldoPendiente, Cliente.{IdCliente,Codigo,RazonSocial,CUIT}, Proveedor.{IdProveedor,Codigo,RazonSocial,CUIT}, SucursalFisica.{IdSucursalFisica,Codigo,Nombre}, Vendedor.{IdVendedor,Codigo,Nombre}, TipoComprobante.{IdTipoComprobante,Codigo,Nombre}, CanalVenta.{IdCanalVenta,Nombre}, FechaVencimiento, Importe, ImportePendiente","ID del cliente, fecha de actualización del precio, salida simplificada","Path: {idCliente} requerido | URL: fechaVencimientoHasta o fechaDocumentoHasta (uno de los dos es obligatorio), composicionReal, numeroPagina y cantidadItemsPorPagina.",,,,
Clientes,BUSCAR,Clientes,Get (***),Search_Customers,Devuelve una lista de clientes que coincidan con los filtros seleccionados.,Devuelve los datos de clientes en función de filtros varios.,/Clientes,"IdCliente, Codigo, RazonSocial, NombreFantasia, CUIT, Documento, Email, Telefono, Activo, Saldo, SaldoPendiente, CondicionIVA.{IdCondicionIVA,Nombre}, Zona.{IdZona,Nombre}, Vendedor.{IdVendedor,Codigo,Nombre}","Código de cliente, CUIT, Nombre de la empresa, Salida simplificada","URL: codigo, codigoDesde, codigoHasta, cuit, razonSocial, activo, numeroPagina y cantidadItemsPorPagina; usar como filtros principales razón social y/o CUIT.",,,,
Clientes,BUSCAR,Clientes,Get (***),Search_Customers_By_CUIT,Devuelve una lista de clientes basada en el CUIT proporcionado.,Devuelve los datos de clientes en función de filtros varios.,/Clientes,"IdCliente, Codigo, RazonSocial, NombreFantasia, CUIT, Documento, Email, Telefono, Activo, Saldo, SaldoPendiente, CondicionIVA.{IdCondicionIVA,Nombre}, Zona.{IdZona,Nombre}, Vendedor.{IdVendedor,Codigo,Nombre}","CUIT, Salida simplificada",URL: cuit como filtro principal; numeroPagina y cantidadItemsPorPagina opcionales.,,,,
Clientes,BUSCAR,Clientes,GetOneContribuyente,Search_Taxpayer_Customer,Devuelva los datos del contribuyente por CUIT o nombre de la empresa.,Devuelve datos básicos de un contribuyente obtenidos del padrón en función de un CUIT.,/Clientes/BuscarContribuyente,"IdCliente, Codigo, RazonSocial, NombreFantasia, CUIT, Documento, Email, Telefono, Activo, Saldo, SaldoPendiente, CondicionIVA.{IdCondicionIVA,Nombre}, Zona.{IdZona,Nombre}, Vendedor.{IdVendedor,Codigo,Nombre}","CUIT, Nombre de la empresa, Salida simplificada",URL: CUIT requerido.,,,,
Clientes,GET,Cobros,Get (****),Get_Payment_Invoices,Obtenga todas las facturas de pago del cliente seleccionado.,Devuelve los datos de cobranzas realizadas en funcion de filtros varios.,/Cobros/FiltrosCobro,"IdVenta, IdPedidoVenta, IdPedido, IdCobro, IdCompra, IdOrdenCompra, IdComprobante, Codigo, Numero, NumeroDocumento, Fecha, FechaDocumento, FechaEntrega, Estado, ImporteNeto, ImporteIVA, ImporteTotal, Total, Saldo, SaldoPendiente, Cliente.{IdCliente,Codigo,RazonSocial,CUIT}, Proveedor.{IdProveedor,Codigo,RazonSocial,CUIT}, SucursalFisica.{IdSucursalFisica,Codigo,Nombre}, Vendedor.{IdVendedor,Codigo,Nombre}, TipoComprobante.{IdTipoComprobante,Codigo,Nombre}, CanalVenta.{IdCanalVenta,Nombre}","ID del cliente, fecha de inicio, fecha de finalización, salida simplificada","URL: numeroPagina, cantidadItemsPorPagina | Body: fechaDocumentoDesde y fechaDocumentoHasta requeridos; opcionales fechaImputacionDesde/Hasta, idCliente, idClienteCuentaCorriente, idCobro, idSucursalFisica, puntoVenta, letra, numero, incluirAnulados, idUsuarioCreador, Observacion e idDivisionEmpresaGrupoEconomico.",,,,
Cobros,CREAR,Cobros,Create,Create_Payment,Crear un comprobante de pago,Crea un cobro (recibo) a un cliente específico.,/Cobros,,"Artículos, Cliente, Información de envío",Cabecera opcional: CentumSuiteClientUser | Body: Cobro.,,,,
Cobros,LISTAR,Cobros,Get (****),List_Payments,Obtén una lista de pagos usando los filtros seleccionados.,Devuelve los datos de cobranzas realizadas en funcion de filtros varios.,/Cobros/FiltrosCobro,"IdVenta, IdPedidoVenta, IdPedido, IdCobro, IdCompra, IdOrdenCompra, IdComprobante, Codigo, Numero, NumeroDocumento, Fecha, FechaDocumento, FechaEntrega, Estado, ImporteNeto, ImporteIVA, ImporteTotal, Total, Saldo, SaldoPendiente, Cliente.{IdCliente,Codigo,RazonSocial,CUIT}, Proveedor.{IdProveedor,Codigo,RazonSocial,CUIT}, SucursalFisica.{IdSucursalFisica,Codigo,Nombre}, Vendedor.{IdVendedor,Codigo,Nombre}, TipoComprobante.{IdTipoComprobante,Codigo,Nombre}, CanalVenta.{IdCanalVenta,Nombre}, FechaCobro, ImporteCobrado, ImporteAplicado","ID de cliente, Fecha de inicio, Fecha de finalización, ID de pago, Salida simplificada","URL: numeroPagina, cantidadItemsPorPagina | Body: fechaDocumentoDesde y fechaDocumentoHasta requeridos; opcionales fechaImputacionDesde/Hasta, idCliente, idClienteCuentaCorriente, idCobro, idSucursalFisica, puntoVenta, letra, numero, incluirAnulados, idUsuarioCreador, Observacion e idDivisionEmpresaGrupoEconomico.",,,,
Compras,CREAR,Compras,Create,Create_Purchase,Crea una compra utilizando los parámetros seleccionados.,"Crea un comprobante de compra (factura de compra, nota de crédito de compras, entre otros) a un proveedor específico.",/Proveedores/{id} + /Articulos/Venta + /Compras,,"Artículos, ID de cliente, Código de cupón, Fecha de inicio, Fecha del documento, ID de proveedor, ID de tipo de cupón, ID de sucursal física, Carta del documento de compra, Nombre del tipo de cupón, Número de documento de compra, Punto de venta","Flujo: obtener proveedor (/Proveedores/{id}) y artículos base, luego POST /Compras | Cabecera opcional: CentumSuiteClientUser | Body: Compra.",,,,
Compras,LISTAR,Compras,Get,List_Purchases,Obtén una lista de compras usando los filtros seleccionados.,Devuelve los datos de comprobantes de compras realizadas en funcion de filtros varios.,/Compras/FiltrosCompra,"IdVenta, IdPedidoVenta, IdPedido, IdCobro, IdCompra, IdOrdenCompra, IdComprobante, Codigo, Numero, NumeroDocumento, Fecha, FechaDocumento, FechaEntrega, Estado, ImporteNeto, ImporteIVA, ImporteTotal, Total, Saldo, SaldoPendiente, Cliente.{IdCliente,Codigo,RazonSocial,CUIT}, Proveedor.{IdProveedor,Codigo,RazonSocial,CUIT}, SucursalFisica.{IdSucursalFisica,Codigo,Nombre}, Vendedor.{IdVendedor,Codigo,Nombre}, TipoComprobante.{IdTipoComprobante,Codigo,Nombre}, CanalVenta.{IdCanalVenta,Nombre}","ID de cliente, Fecha de inicio, Fecha de finalización, ID de compra, Salida simplificada","URL: numeroPagina, cantidadItemsPorPagina | Body: fechaDocumentoDesde y fechaDocumentoHasta requeridos; opcionales idProveedor, idCompra, idSucursalFisica, idDivisionEmpresaGrupoEconomico, puntoVenta, letra, numero, incluirAnulados, idUsuarioCreador, idTipoComprobante y Observacion.",,,,
Otros,LISTAR,Conceptos,GetAll,List_Concepts,Obtén una lista de conceptos,Devuelve la lista completa de conceptos para comprobantes de compra o venta.,/Conceptos,,Sin parámetros de nodo específicos.,"URL: numeroPagina, cantidadItemsPorPagina opcionales.",,,,
Geografía,LISTAR,Departamentos,Get,List_Municipalities,"Obtén una lista de municipios, generalmente filtrada por provincia.",Devuelve una lista de departamentos en funcion del ID específico de una provincia.,/Departamentos,,ID de la provincia,URL: idProvincia opcional.,,,,
Clientes,LISTAR,Frecuenca de Clientes,GetAll,List_Customer_Frequencies,Obtenga una lista de opciones de frecuencia de clientes,Devuelve la lista completa de frecuencias de compra de un cliente.,/FrecuenciasCliente,,Sin parámetros de nodo específicos.,Sin parámetros documentados.,,,,
Articulos,LISTAR,Listas Precios,GetAll,List_Product_Prices,Obtén una lista de precios sugeridos para los productos.,Devuelve la lista completa de listas de precios.,/ListasPrecios,,Sin parámetros de nodo específicos.,"URL: numeroPagina, cantidadItemsPorPagina opcionales.",,,,
Articulos,LISTAR,Marcas,GetAll,List_Brands,Obtén la lista completa de marcas de artículos,Devuelve la lista completa de marcas de artículos.,/MarcasArticulo,,Sin parámetros de nodo específicos.,Sin parámetros documentados.,,,,
Otros,GET,Operadores Móviles,GetCredenciales,Verify_Mobile_Operator,Obtén los datos de un operador móvil utilizando las credenciales configuradas.,Devuelve los datos de un operador móvil en función de sus credenciales (usuarios y contraseñas).,/OperadoresMoviles/Credenciales,,Nombre de usuario,Documentado como GET /OperadoresMoviles/Credenciales con Usuario y Contrasena requeridos.,,,,
Otros,LISTAR,Operadores Móviles,Get,List_Mobile_Operators,Obtén la lista de todos los operadores de telefonía móvil.,Devuelve los datos de un operador móvil en función de filtros varios.,/OperadoresMoviles,,"Nombre de usuario, correo electrónico",URL: usuario y email opcionales.,,,,
Compras,CREAR,Órdenes Compra,Create,Create_Purchase_Order,Cree una orden de compra utilizando los parámetros seleccionados.,Crea una orden de compra a un proveedor específico.,/Clientes + /Articulos/Venta + /Proveedores/{id} + /OrdenesCompra,,"Artículos, Fecha del documento, Fecha de entrega, Fecha de vencimiento, ID de franja horaria de entrega, ID de sucursal física, Carta del documento de compra, Número de documento de compra, ID del proveedor, Punto de venta, Nombre de la empresa","Flujo: validar proveedor y artículos previos, luego POST /OrdenesCompra | Cabecera opcional: CentumSuiteClientUser | Body: Orden de compra.",,,,
Compras,GET,Órdenes Compra,GetOne,Get_Purchase_Order,Obtenga una única orden de compra por ID.,Devuelve los datos de una orden de compra específica en función de su ID único.,/OrdenesCompra/{id},"IdVenta, IdPedidoVenta, IdPedido, IdCobro, IdCompra, IdOrdenCompra, IdComprobante, Codigo, Numero, NumeroDocumento, Fecha, FechaDocumento, FechaEntrega, Estado, ImporteNeto, ImporteIVA, ImporteTotal, Total, Saldo, SaldoPendiente, Cliente.{IdCliente,Codigo,RazonSocial,CUIT}, Proveedor.{IdProveedor,Codigo,RazonSocial,CUIT}, SucursalFisica.{IdSucursalFisica,Codigo,Nombre}, Vendedor.{IdVendedor,Codigo,Nombre}, TipoComprobante.{IdTipoComprobante,Codigo,Nombre}, CanalVenta.{IdCanalVenta,Nombre}","ID de compra, salida simplificada",Path: {idOrdenCompra} requerido.,,,,
Compras,LISTAR,Órdenes Compra,Get,List_Purchase_Orders,Obtenga todos los pedidos de compra utilizando los filtros seleccionados.,Devuelve los datos de ordenes de compra en función de filtros varios.,/OrdenesCompra/FiltrosOrdenCompra,"IdVenta, IdPedidoVenta, IdPedido, IdCobro, IdCompra, IdOrdenCompra, IdComprobante, Codigo, Numero, NumeroDocumento, Fecha, FechaDocumento, FechaEntrega, Estado, ImporteNeto, ImporteIVA, ImporteTotal, Total, Saldo, SaldoPendiente, Cliente.{IdCliente,Codigo,RazonSocial,CUIT}, Proveedor.{IdProveedor,Codigo,RazonSocial,CUIT}, SucursalFisica.{IdSucursalFisica,Codigo,Nombre}, Vendedor.{IdVendedor,Codigo,Nombre}, TipoComprobante.{IdTipoComprobante,Codigo,Nombre}, CanalVenta.{IdCanalVenta,Nombre}","Fecha de entrega desde, Fecha de entrega hasta, ID de cliente, Fecha desde, Fecha hasta, ID de estado, ID de proveedor, Salida simplificada","URL: numeroPagina, cantidadItemsPorPagina | Body: fechaDocumentoDesde y fechaDocumentoHasta requeridos; admite filtros habituales como idProveedor, idOrdenCompra, idSucursalFisica, idDivisionEmpresaGrupoEconomico, puntoVenta, letra, numero, incluirAnulados, idUsuarioCreador y fechas de creación/entrega.",,,,
Geografía,LISTAR,Países,GetAll,List_Countries,Obtén la lista de países disponibles,Devuelve la lista completa de países.,/Paises,,Sin parámetros de nodo específicos.,Sin parámetros documentados.,,,,
Ventas,CREAR,Pedidos Venta,Create,Create_Sales_Order,Cree un pedido de venta utilizando los artículos proporcionados.,Crea un pedido de venta a un cliente específico.,/Clientes + /Articulos/Venta + /PedidosVenta,,"Artículos, Código de cliente, Fecha del documento, Fecha de entrega, ID del vendedor, ID del descuento, ID de la franja horaria de entrega, Nombre de la empresa","Cabecera opcional: CentumSuiteClientUser | Body: Pedido de Venta | Flujo recomendado: opcional /PedidosVenta/PromocionesComerciales y luego POST /PedidosVenta, usando artículos previamente obtenidos/cotizados.",,,,
Ventas,GET,Pedidos Venta,GetOne,Get_Sales_Order,Obtenga un pedido de venta por su identificador único.,Devuelve los datos de un pedido de venta específico en función de su ID único.,/PedidosVenta/{id},,IDENTIFICACIÓN,Path: {idPedidoVenta} requerido.,,,,
Ventas,LISTAR,Pedidos Venta,Get,List_Sales_Orders,Obtenga todos los pedidos de venta utilizando los filtros seleccionados.,Devuelve los datos de pedidos de venta en función de filtros varios.,/PedidosVenta/FiltrosPedidoVenta,"IdVenta, IdPedidoVenta, IdPedido, IdCobro, IdCompra, IdOrdenCompra, IdComprobante, Codigo, Numero, NumeroDocumento, Fecha, FechaDocumento, FechaEntrega, Estado, ImporteNeto, ImporteIVA, ImporteTotal, Total, Saldo, SaldoPendiente, Cliente.{IdCliente,Codigo,RazonSocial,CUIT}, Proveedor.{IdProveedor,Codigo,RazonSocial,CUIT}, SucursalFisica.{IdSucursalFisica,Codigo,Nombre}, Vendedor.{IdVendedor,Codigo,Nombre}, TipoComprobante.{IdTipoComprobante,Codigo,Nombre}, CanalVenta.{IdCanalVenta,Nombre}","ID de cliente, Fecha de inicio, Fecha de finalización, ID de estado, ID de venta, Incluir pedidos cancelados, Creado por ID de usuario, ID de transporte, ID de sucursal física, Salida simplificada","URL: numeroPagina, cantidadItemsPorPagina | Body: fechaDocumentoDesde y fechaDocumentoHasta requeridos; opcionales idCliente, idVendedor, idPedidoVenta, idSucursalFisica, idDivisionEmpresaGrupoEconomico, incluirAnulados, idUsuarioCreador, idTransporte, idEstadoPedidoVenta, fechaCreacionDesde y fechaCreacionHasta.",,,,
